"id","hsncode","name","gst_tax_ids:id"
"15080000","15080000","Ground-nut oil and its fraction whether or not refined, but not chemically modified.","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15081000","15081000","Ground-nut oil (crude oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15089000","15089000","Ground-nut oil and its fractions (other than crude oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15089091","15089091","Groundnut oil (Edible oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15089099","15089099","Groundnut oil (Vegetable oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15090000","15090000","Olive oil & its fractions, whether or not refined, but not chemically modified","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15091000","15091000","Olive oil (crude oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15099000","15099000","Olive oil and its fractions (other than virgin)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15099010","15099010","Olive oil (Edible oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15099090","15099090","Olive oil (Vegetable oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15110000","15110000","Palm oil & its fractions, whether or not refined, but not chemically modified","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15111000","15111000","Palm oil (crude oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15119000","15119000","Palm oil and its fractions (other than crude oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15119010","15119010","Refined bleached deodorised palm oil","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15119020","15119020","Refined bleached deodorised palmolein","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15119090","15119090","Palmoil (Vegetable oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15120000","15120000","Sunflower-seed, safflower or cottonseed oil, and fractions thereof, whether or not refined but not chemically modified","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15121100","15121100","Sunflower-seed, safflower oil (crude oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15121900","15121900","Sunflower seed oil, safflower oil and their fractions (other than crude oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15121910","15121910","Sunflower oil (Edible oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15121920","15121920","Sunflower oil (Vegetable oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
"15121930","15121930","Saffola oil (Edible oil)","GSTO5,GSTI5,IGSTO5,IGSTI5,UGSTO5,UGSTI5"
